"GEOID_JOIN","STATE_NAME","COUNTRY_NAME","total_hh","avg_rps","predicted_remitters","est_remittance_usd","avg_income","avg_housing_cost","avg_yrsusa","pct_non_citizen","pct_recent_arrival","remittance_M","remit_per_hh","zkp_priority"
"0100100","Alabama","El Salvador",1,0.3026,0,0.0,0.0,1123.0,41.0,0.0,0.0,0.0,0.0,0
"0100100","Alabama","India",4,0.1931,1,14742.0,155000.0,775.25,12.25,0.5,0.25,0.015,3686.0,0
"0100100","Alabama","Mexico",36,0.2037,8,311133.6,24900.0,682.9444,22.5,0.7222,0.0,0.311,8643.0,0
"0100100","Alabama","Philippines",3,0.1109,0,6336.0,38666.6667,919.3333,19.0,0.3333,0.0,0.006,2112.0,0
"0100200","Alabama","India",9,0.0724,0,53671.8,77888.8889,1477.6667,20.8889,0.4444,0.0,0.054,5964.0,0
"0100200","Alabama","Mexico",19,0.2075,1,108830.4,19047.3684,645.8421,21.0,0.6316,0.0526,0.109,5728.0,0
"0100200","Alabama","Philippines",7,0.1458,0,12672.0,11428.5714,1389.0,32.5714,0.0,0.0,0.013,1810.0,0
"0100300","Alabama","Mexico",15,0.1702,1,128185.4,26200.0,687.1333,23.7333,0.8667,0.0,0.128,8546.0,0
"0100300","Alabama","Philippines",2,0.2357,1,6336.0,57000.0,1078.0,5.5,0.5,0.5,0.006,3168.0,0
"0100301","Alabama","Bangladesh",1,0.5663,1,5053.0,14400.0,770.0,1.0,1.0,1.0,0.005,5053.0,1
"0100301","Alabama","India",10,0.148,1,41577.9,67390.0,1117.2,17.1,0.5,0.1,0.042,4158.0,0
"0100301","Alabama","Mexico",15,0.2365,3,88511.6,19060.0,981.4,20.4667,0.7333,0.1333,0.089,5901.0,0
"0100301","Alabama","Philippines",2,0.0002,0,12540.0,99000.0,1346.0,28.5,0.5,0.0,0.013,6270.0,0
"0100302","Alabama","India",6,0.1698,1,13832.0,96616.6667,2176.8333,26.1667,0.1667,0.0,0.014,2305.0,0
"0100302","Alabama","Mexico",15,0.2076,2,106112.8,48566.6667,780.2,16.6,0.8667,0.1333,0.106,7074.0,0
"0100302","Alabama","Philippines",2,0.4499,1,0.0,185100.0,456.5,23.5,0.0,0.0,0.0,0.0,0
"0100400","Alabama","Bangladesh",1,0.011,0,9291.0,57000.0,1415.0,2.0,1.0,1.0,0.009,9291.0,0
