"GEOID_JOIN","STATE_NAME","COUNTRY_NAME","hh_targeted","hh_adopted","avg_adoption_prob","capital_retained","remittance_prevented","tax_credit_cost","yield_income","adoption_rate","net_govt_benefit","roi_ratio"
"0605302","California","Mexico",122,13,0.12,32128.0,70009.8,4819.2,5301.12,0.107,65190.600000000006,6.67
"0600101","California","India",10,5,0.11,30640.8,28210.0,4596.12,5055.73,0.5,23613.88,6.67
"0606501","California","Mexico",137,16,0.11,26857.6,83313.4,4028.64,4431.5,0.117,79284.76,6.67
"4806301","Texas","Mexico",206,25,0.11,26792.8,137573.76,4018.92,4420.81,0.121,133554.84,6.67
"0603742","California","Mexico",143,19,0.12,26704.0,194245.2,4005.6,4406.16,0.133,190239.6,6.67
"0603741","California","Mexico",173,25,0.11,24100.0,158845.3,3615.0,3976.5,0.145,155230.3,6.67
"0610703","California","Mexico",170,18,0.11,23773.6,96696.0,3566.04,3922.64,0.106,93129.96,6.67
"0603751","California","Mexico",113,11,0.12,22767.2,65285.6,3415.08,3756.59,0.097,61870.52,6.67
"0603900","California","Mexico",66,10,0.12,22503.2,55458.0,3375.48,3713.03,0.152,52082.52,6.67
"4804614","Texas","Mexico",75,14,0.11,21320.0,76912.82,3198.0,3517.8,0.187,73714.82,6.67
"0603744","California","Mexico",147,16,0.11,21136.0,92145.6,3170.4,3487.44,0.109,88975.20000000001,6.67
"2500804","Massachusetts","India",11,3,0.11,20990.4,16926.0,3148.56,3463.42,0.273,13777.44,6.67
"0601904","California","Mexico",71,8,0.12,20944.0,35550.0,3141.6,3455.76,0.113,32408.4,6.67
"0601907","California","Mexico",61,10,0.12,20815.6,53909.6,3122.34,3434.57,0.164,50787.259999999995,6.67
"3400601","New Jersey","India",40,5,0.1,19787.2,38502.1,2968.08,3264.89,0.125,35534.02,6.67
"4802307","Texas","Mexico",31,5,0.12,18327.2,21330.0,2749.08,3023.99,0.161,18580.92,6.67
"4806702","Texas","Mexico",128,17,0.11,17980.8,81923.0,2697.12,2966.83,0.133,79225.88,6.67
"0611103","California","Mexico",82,9,0.12,17572.0,48869.4,2635.8,2899.38,0.11,46233.6,6.67
"4806803","Texas","Mexico",177,18,0.11,17236.8,87200.2,2585.52,2844.07,0.102,84614.68,6.67
"0603747","California","Mexico",40,6,0.12,17111.2,29072.0,2566.68,2823.35,0.15,26505.32,6.67
"0602904","California","Mexico",59,12,0.12,16842.4,61509.4,2526.36,2779.0,0.203,58983.04,6.67
"0608301","California","Mexico",60,10,0.12,16800.0,94104.8,2520.0,2772.0,0.167,91584.8,6.67
"3604165","New York","India",4,2,0.12,16684.0,11284.0,2502.6,2752.86,0.5,8781.4,6.67
"4806701","Texas","Mexico",117,12,0.11,16572.8,76408.8,2485.92,2734.51,0.103,73922.88,6.67
"0603738","California","Mexico",81,14,0.11,16452.8,62694.4,2467.92,2714.71,0.173,60226.48,6.67
"0603734","California","Mexico",98,12,0.11,16308.0,74544.4,2446.2,2690.82,0.122,72098.2,6.67
"0607901","California","Mexico",9,2,0.12,15811.2,8532.0,2371.68,2608.85,0.222,6160.32,6.67
"0604702","California","Mexico",70,11,0.11,15715.2,51444.8,2357.28,2593.01,0.157,49087.520000000004,6.67
"1208605","Florida","El Salvador",39,3,0.12,15676.0,17836.0,2351.4,2586.54,0.077,15484.6,6.67
"0601100","California","Mexico",32,7,0.12,15363.2,35613.2,2304.48,2534.93,0.219,33308.719999999994,6.67
"0610702","California","Mexico",92,10,0.11,15093.6,42660.0,2264.04,2490.44,0.109,40395.96,6.67
"3401901","New Jersey","El Salvador",4,4,0.13,15048.0,19000.8,2257.2,2482.92,1.0,16743.6,6.67
"0400123","Arizona","Mexico",43,8,0.12,14872.8,43892.4,2230.92,2454.01,0.186,41661.48,6.67
"0801301","Colorado","Mexico",7,4,0.12,14765.6,17996.2,2214.84,2436.32,0.571,15781.36,6.67
"4806806","Texas","Mexico",121,11,0.11,14584.8,47984.6,2187.72,2406.49,0.091,45796.88,6.67
"0603752","California","Mexico",116,8,0.11,14032.0,43924.0,2104.8,2315.28,0.069,41819.2,6.67
"0609501","California","Mexico",12,3,0.12,13956.8,12798.0,2093.52,2302.87,0.25,10704.48,6.67
"4802309","Texas","Mexico",27,4,0.12,13780.0,17064.0,2067.0,2273.7,0.148,14997.0,6.67
"0603745","California","Mexico",136,15,0.12,13700.0,126305.2,2055.0,2260.5,0.11,124250.2,6.67
"0603767","California","Mexico",92,10,0.11,13556.0,61541.0,2033.4,2236.74,0.109,59507.6,6.67
"4804615","Texas","Mexico",56,10,0.11,13380.0,51792.4,2007.0,2207.7,0.179,49785.4,6.67
"3200414","Nevada","Mexico",2,1,0.14,13236.8,4266.0,1985.52,2184.07,0.5,2280.48,6.67
"0606714","California","Mexico",18,4,0.11,13210.4,32800.8,1981.56,2179.72,0.222,30819.24,6.67
"4804626","Texas","Mexico",28,5,0.12,13016.0,26564.54,1952.4,2147.64,0.179,24612.14,6.67
"2500603","Massachusetts","India",2,2,0.11,12960.0,11284.0,1944.0,2138.4,1.0,9340.0,6.67
"0603723","California","Mexico",92,11,0.11,12924.0,70373.2,1938.6,2132.46,0.12,68434.59999999999,6.67
"0603776","California","Mexico",5,2,0.12,12895.2,8532.0,1934.28,2127.71,0.4,6597.72,6.67
"0400118","Arizona","Mexico",51,11,0.11,12534.4,67529.2,1880.16,2068.18,0.216,65649.04,6.67
"4806703","Texas","Mexico",227,32,0.11,12532.8,177571.46,1879.92,2067.91,0.141,175691.53999999998,6.67
"3200403","Nevada","Mexico",49,7,0.11,12460.0,46499.4,1869.0,2055.9,0.143,44630.4,6.67
"0603722","California","Mexico",42,5,0.11,12447.6,21330.0,1867.14,2053.85,0.119,19462.86,6.67
"2600500","Michigan","Philippines",1,1,0.18,12364.0,6336.0,1854.6,2040.06,1.0,4481.4,6.67
"4802002","Texas","Mexico",13,5,0.12,12268.0,30399.2,1840.2,2024.22,0.385,28559.0,6.67
"0603759","California","Mexico",32,3,0.12,12180.0,12798.0,1827.0,2009.7,0.094,10971.0,6.67
"0602500","California","Mexico",95,8,0.11,12064.0,37051.0,1809.6,1990.56,0.084,35241.4,6.67
"0603740","California","Mexico",45,3,0.11,11748.0,12987.6,1762.2,1938.42,0.067,11225.4,6.67
"0603750","California","Mexico",87,9,0.11,11728.0,44271.6,1759.2,1935.12,0.103,42512.4,6.67
"3200404","Nevada","Mexico",36,4,0.12,11712.0,27492.0,1756.8,1932.48,0.111,25735.2,6.67
"0800810","Colorado","Mexico",16,5,0.12,11419.6,25090.4,1712.94,1884.23,0.312,23377.460000000003,6.67
"0603725","California","India",2,1,0.14,11299.2,5642.0,1694.88,1864.37,0.5,3947.12,6.67
"1802401","Indiana","Philippines",1,1,0.17,11160.0,6336.0,1674.0,1841.4,1.0,4662.0,6.67
"4806805","Texas","Mexico",161,15,0.11,11141.2,63990.0,1671.18,1838.3,0.093,62318.82,6.67
"0605301","California","Mexico",25,4,0.12,11088.8,17854.0,1663.32,1829.65,0.16,16190.68,6.67
"0604701","California","Mexico",45,12,0.11,11068.8,59487.0,1660.32,1826.35,0.267,57826.68,6.67
"0607329","California","Mexico",11,2,0.11,10848.0,8532.0,1627.2,1789.92,0.182,6904.8,6.67
"0605917","California","Mexico",93,9,0.12,10496.0,42312.4,1574.4,1731.84,0.097,40738.0,6.67
"0608302","California","Mexico",24,2,0.11,10408.0,20382.0,1561.2,1717.32,0.083,18820.8,6.67
"0603772","California","Mexico",1,1,0.16,10256.8,4266.0,1538.52,1692.37,1.0,2727.48,6.67
"4804602","Texas","Mexico",74,9,0.11,10180.0,49991.2,1527.0,1679.7,0.122,48464.2,6.67
"0400109","Arizona","India",27,4,0.1,10156.8,22568.0,1523.52,1675.87,0.148,21044.48,6.67
"1301006","Georgia","India",5,3,0.1,10036.8,16926.0,1505.52,1656.07,0.6,15420.48,6.67
"0607702","California","Mexico",37,3,0.12,10000.0,13272.0,1500.0,1650.0,0.081,11772.0,6.67
"4800100","Texas","Mexico",69,7,0.11,9980.8,41727.8,1497.12,1646.83,0.101,40230.68,6.67
"1600500","Idaho","Mexico",11,5,0.11,9960.0,28440.0,1494.0,1643.4,0.455,26946.0,6.67
"0603708","California","Mexico",35,7,0.11,9940.0,43860.8,1491.0,1640.1,0.2,42369.8,6.67
"4807600","Texas","Mexico",93,10,0.11,9796.8,51002.4,1469.52,1616.47,0.108,49532.880000000005,6.67
"4803310","Texas","Mexico",95,15,0.11,9757.6,73707.0,1463.64,1610.0,0.158,72243.36,6.67
"0607322","California","Mexico",76,6,0.11,9696.0,27650.0,1454.4,1599.84,0.079,26195.6,6.67
"0601903","California","Mexico",28,3,0.12,9592.8,12798.0,1438.92,1582.81,0.107,11359.08,6.67
"0607506","California","India",2,1,0.11,9576.0,5642.0,1436.4,1580.04,0.5,4205.6,6.67
"1209504","Florida","El Salvador",12,2,0.13,9572.8,13832.0,1435.92,1579.51,0.167,12396.08,6.67
"0400122","Arizona","Mexico",54,5,0.11,9555.2,24347.8,1433.28,1576.61,0.093,22914.52,6.67
"0609902","California","Mexico",47,9,0.11,9468.0,66360.0,1420.2,1562.22,0.191,64939.8,6.67
